Datum;Tag;  Uhrzeit  ;Seminargruppe;Prüfer;Fach
17. Jan;Di;15:45-17:15;BW15-B, BW16-B;K. Walther-Reining;Grundlagen des Rechts
24. Jan;Di;08:00-09:30;MM15wE-B, MM15wJ-B, MM15wP-B, MM15wS-B;V. Tolkmitt;Investition und Finanzierung
27. Jan;Fr;09:00-12:00;EE15w1-B, EI14wA-BC, EI15sA-BC, EI16w1-M, EI17w1-M;J. Roloff;Energieanlagen
30. Jan;Mo;10:30-11:15;BW15w1-B, BW15w2-B, BW15w3-B;O. Zhukouskaya;Außenwirtschaftspolitik
30. Jan;Mo;13:00-14:30;BT15wM-B, BT16wU-B, EU15wU-B;P. Radehaus;Umweltbiotechnologie
30. Jan;Mo;13:00-14:30;WI14w1-D, WI14w2-D;H. Zwerina;Arbeitswissenschaften
30. Jan;Mo;15:30-17:00;BW17-B, LT15w1-B, WI17-D;H. Zwerina;Grundlagen der Betriebswirtschaft
30. Jan;Mo;10:30-12:00;WI14w1-D, WI14w2-D;A. Winkler;Hydraulische Steuerungen
30. Jan;Mo;08:00-09:30;WI16w1-D, WI16w2-D;K. Müller; Technische Anwendungen: Einführung in die Robotik
30. Jan;Mo;10:30-12:00;EE16w1-B, EU16wE-B, EU16wP-B, EU16wU-B;B. Schusser;Energiemanagement I
30. Jan;Mo;15:30-17:00;FM16w1-B, FM16w2-B, FM16w3-B;T. Meier;BuB in der Wohnungswirtschaft
31. Jan;Di;13:00-14:30;BW16-B, LT17w1-M, WI17-D;K. Vollert;Marketing
31. Jan;Di;10:30-12:00;BW15w1-M, BW16w1-M, IF16wW-B, WI14-D;S. Meyer;Ind. Inf. -systeme
31. Jan;Di;15:30-17:00;ZM16wT-M, ZM17s1-M, ZM17sT-M, ZM17w1-M, ZM17wT-M;A. Schneider;Business-to Business Marketing
31. Jan;Di;08:00-09:30;IM16w1-B, MI17w1-B, MI17w2-B;S. Klimant, F. Zimmer;Grundlagen der Web-Programmierung
01. Feb;Mi;10:30-12:30;BW17-B, FM17-B, WI17-D;Villmann, Bernert;Wirtschaftsmathematik
01. Feb;Mi;13:45-14:30;BW15w1-B;H. Zwerina;Innovations- und Chancenmanagement
01. Feb;Mi;13:00-13:45;BW15w1-B;K. Vollert;Strategische Unternehmensführung
01. Feb;Mi;15:30-17:00;BW17w1-M;K. Vollert, H. Zwerina;Innovations- und Kompetenzmanagement
01. Feb;Mi;13:00-14:30;WI14w1-D, WI14w2-D;L. Goldhahn;Digitale Produktion
01. Feb;Mi;08:00-09:30;EE15w1-B, EU15wP-B, EU15wU-B;B. Schusser;Energiemanagement II
01. Feb;Mi;08:00-09:30;IF14-B, IF15-B, IF16-B;S. Amarell;Wirtschaftsprivatrecht/ IT-Recht
01. Feb;Mi;13:00-14:30;EI15wE-B, EI15wM-B, EU16wE-B, EU16wP-B, EU16wU-B;S. Amarell;Lernbereich 4 Wirtschaft und Recht
02. Feb;Do;13:00-14:30;BW16w1-M;C. Biesok;Insolvenz & Liquidation, Turnaround Management
02. Feb;Do;10:30-12:00;WI14w1-D, WI14w2-D;S. Meyer;Product Lifecycle Management
02. Feb;Do;10:30-12:00;IM16w1-B;A. Winkler;Grundlagen der Automatisierung
02. Feb;Do;13:00-14:30;IN17w1-B, IN17w2-BS, ME17w1-B, ME17w2-BS, OM17w1-Z;F. Mueller, F. Hahn;Einführung in die Werkstofftechnik
02. Feb;Do;13:00-14:30;FM16w1-B, FM16w2-B;J. Mehlis;Strategisches Facility Management
02. Feb;Do;10:30-12:00;EU17w1-B, IF17wI2-B, IF17wI-B, IF17wS-B;B. Schusser, C. Hesse;Grundlagen der Betriebswirtschaft
03. Feb;Fr;13:00-14:30;BT15wM-B, BT15wU-B, EU15wU-B;P. Radehaus;Ökotoxikologie
03. Feb;Fr;10:30-12:00;BW17w1-M;H. Zwerina;Führung und Organisation: Organisation
03. Feb;Fr;10:30-12:00;EE17w1-B, EU17w1-B, OM17w1-Z;R. Hartig;Grundlagen Elektrotechnik
03. Feb;Fr;13:00-14:30;EI15-B, IN16-B, ME16-M, WI14-D, ZM1-M, ZM17-M;S. Schmeißer;Prozesskopplung/ Leitsysteme
03. Feb;Fr;13:00-13:45;BW15w1-B, BW15w2-B, BW15w3-B;S. Meyer-Stork;Aktuelle Probleme der BWL
03. Feb;Fr;08:00-09:30;FM17-B, MB1-B, ME15wA-B;T. Meier;BWL Grundlagen
03. Feb;Fr;13:00-14:30;FM15w1-B, FM15w2-B;;Immobilienprojektentwicklung I
06. Feb;Mo;14:00-15:30;EU16wP-B;G. Köbernik;Unternehmenslogistik
06. Feb;Mo;10:30-12:00;BW16w1-B;U. Meister;Personalführung und Organisation
06. Feb;Mo;15:30-17:00;MB17w1-M;U. Meister;Personalmanagement
06. Feb;Mo;13:00-14:30;FM17w1-B, FM17w2-B, WI17w1-D, WI17w2-D;A. Ittner;Grundlagen der Informatik
06. Feb;Mo;10:30-12:30;FM15w1-B, FM15w2-B, FM15w3-B;J. Mehlis;Projektmanagement
06. Feb;Mo;08:00-09:30;IM16w1-B, LT15w1-B, MB17-B, ME15w2-BS, ME16w1-B, OM17w1-Z;P. Hübner, F. Köster;Fertigungstechnik
06. Feb;Mo;10:30-12:00;BT15wM-B, BT15wU-B, EU15wP-B, EU15wU-B;R. Kretschmer;Umwelttechnik II
06. Feb;Mo;13:00-14:30;BT16-B, BT17-B, EU16-B, ZM16-M, ZM17-M;R. Kretschmer;Grundlagen der Molekularbiologie
07. Feb;Di;10:30-12:30;EI17w1-B, EU17w1-B, IN17w1-B, IN17w2-BS, MG17-B, OM17w1-Z;C. Bernert, U. Griesbach;Mathematik I
07. Feb;Di;09:00-12:00;BW15-B;U. Meister;Human Resource Management: Teilprüfung 1
07. Feb;Di;13:00-14:30;FM15w1-B, FM15w2-B;J. Schaaf;Immobilieninvestitionen/ Immobilienfinanzierung
07. Feb;Di;10:30-12:00;FM17w1-B, FM17w2-B;T. Laufs;Bauphysik
07. Feb;Di;10:00-11:30;KM15sMFA;R. Moser;Projektmanagement
08. Feb;Mi;10:30-12:00;EE15w1-B, EU15-B;C. Hesse;Energie- und Umweltprozesstechnik
08. Feb;Mi;08:00-10:00;BT16-B, BW15-B, BW16-B, FM16-B, FO16-B, IF16-B, MB17-M, MO17-M, WI15-D, WI16-D;E. Lindner, B. Fischer;Statistik
08. Feb;Mi;13:00-16:00;BW15-B, IF15wW-B;G. Köbernik;Prozessmanagement
